Gene	RefSeq_transcript	Reason
LOC122394732	NM_001395917	Not_found_in_canonical_GTF_exon_records
LOC122455340	NM_001395962	Not_found_in_canonical_GTF_exon_records
LOC122455342	NM_001395979	Not_found_in_canonical_GTF_exon_records
LOC122513141	NM_001395982	Not_found_in_canonical_GTF_exon_records
LOC122526780	NM_001396008	Not_found_in_canonical_GTF_exon_records
LOC122539214	NM_001396016	Not_found_in_canonical_GTF_exon_records
LOC127898562	NM_001414702	Not_found_in_canonical_GTF_exon_records
LOC127898563	NM_001414704	Not_found_in_canonical_GTF_exon_records
LOC127903862	NM_001414722	Not_found_in_canonical_GTF_exon_records
LOC127933115	NM_001414725	Not_found_in_canonical_GTF_exon_records
LOC128031832	NM_001414727	Not_found_in_canonical_GTF_exon_records
LOC128031833	NM_001414729	Not_found_in_canonical_GTF_exon_records
LOC128031834	NM_001414731	Not_found_in_canonical_GTF_exon_records
LOC128031835	NM_001414736	Not_found_in_canonical_GTF_exon_records
LOC128031836	NM_001414738	Not_found_in_canonical_GTF_exon_records
LOC128031837	NM_001414739	Not_found_in_canonical_GTF_exon_records
LOC128071544	NM_001414892	Not_found_in_canonical_GTF_exon_records
LOC128071545	NM_001414893	Not_found_in_canonical_GTF_exon_records
LOC128071547	NM_001414895	Not_found_in_canonical_GTF_exon_records
LOC128092246	NM_001414897	Not_found_in_canonical_GTF_exon_records
LOC128092247	NM_001414898	Not_found_in_canonical_GTF_exon_records
LOC128092248	NM_001414901	Not_found_in_canonical_GTF_exon_records
LOC128092249	NM_001414902	Not_found_in_canonical_GTF_exon_records
LOC128092250	NM_001414935	Not_found_in_canonical_GTF_exon_records
LOC128092251	NM_001414942	Not_found_in_canonical_GTF_exon_records
LOC128092252	NM_001414947	Not_found_in_canonical_GTF_exon_records
LOC128092253	NM_001414965	Not_found_in_canonical_GTF_exon_records
LOC128125814	NM_001414991	Not_found_in_canonical_GTF_exon_records
LOC128125816	NM_001414998	Not_found_in_canonical_GTF_exon_records
LOC128125818	NM_001415001	Not_found_in_canonical_GTF_exon_records
LOC128125822	NM_001415059	Not_found_in_canonical_GTF_exon_records
LOC128462377	NM_001416403	Not_found_in_canonical_GTF_exon_records
